X,Y,OBJECTID,rb,Gradska_cetvrt,Mjesni_odbor,lokacija,Vrsta_objekta,Izvor,Izradio
15.892832377,45.793267171,96,162,Trešnjevka - jug,Prečko,"Paljetkova ulica, zapadno od k.br. 2",sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.902597192,45.7950422010001,97,163,Trešnjevka - jug,Prečko,"Ulica Marijane Radev, sjeverno od k.br. 8",sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9055862540001,45.7895489100001,98,164,Trešnjevka - jug,Prečko,"Sibeliusova ulica, zapadno od k.br. 6",boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.905626023,45.7934734950001,99,165,Trešnjevka - jug,Prečko,"Prečko, istočno od k.br. 2",boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.134873613,45.8919840880001,100,116,Sesvete,Prepuštovec,Glavna ulica 2,sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.940402858,45.7676871890001,101,36,Novi Zagreb - zapad,Remetinec,"Karlovačka cesta, kraj kapelice u Remetincu",sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9485437110001,45.768771153,102,37,Novi Zagreb - zapad,Remetinec,Remetinečki gaj 14,boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.948959218,45.7685027430001,103,38,Novi Zagreb - zapad,Remetinec,Remetinečki gaj 14,vježbalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.948719672,45.7688024670001,104,39,Novi Zagreb - zapad,Remetinec,Remetinečki gaj 14,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.930833164,45.7619287810001,105,40,Novi Zagreb - zapad,Remetinec,Zdihovska ulica 44,dječje igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.0802830010001,45.803575343,106,74,Peščenica - Žitnjak,Resnik,I. Resnik 44,"dječje igralište, sportsko igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9149527810001,45.7999841590001,107,153,Trešnjevka - sjever,Rudeš,Kod križanja Ratarske ulice i Erdutskog puta,vježbalište za odrasle,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9214635720001,45.797796342,108,154,Trešnjevka - sjever,Rudeš,Dugavska ulica 3,"dječje igralište, igralište za odrasle","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.010403565,45.817700003,109,61,Maksimir,Ružmarinka,"Ružmarinka, iza k.br. 21",dječje igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
